TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
FUENTES,FUE_01_0039,"CENTRO, PZA. GABRIEL MIRO, Nº 8",Sin información adicional,40.4120067,-3.7149769
FUENTES,FUE_01_0041,"CENTRO, C/ SANTA CRUZ DE MARCENADO, 18",ESQUINA C/ CONDE DUQUE (FTE FARMACIA),40.4288758,-3.7096543
FUENTES,FUE_01_0042,"CENTRO, PLAZA SANTA MARÍA SOLEDAD TORRES ACOSTA","FRENTE A CALLE LUNA, 8",40.4218322,-3.7054888
FUENTES,FUE_01_0043,"CENTRO, CALLE DEL ALMENDRO, 3",Sin información adicional,40.4128691,-3.709017
FUENTES,FUE_01_0044,"CENTRO, CIUDAD RODRIGO, JUNTO ACCESO PZA. MAYOR",CV TRAVESÍA DE BRINGAS,40.4157493,-3.7086386
FUENTES,FUE_01_0045,"CENTRO, JARDINES ARQUITECTO RIBERA",DENTRO DE ARENERO ZONA INFANTIL,40.4258724,-3.6996383
FUENTES,FUE_01_0046,"CENTRO, CALLE ARENAL Nº 18",Sin información adicional,40.4173694,-3.7068608
FUENTES,FUE_01_0047,"CENTRO, PLAZA DE LAVAPIÉS",JUNTO ZONA INFANTIL,40.4089076,-3.7010206
FUENTES,FUE_01_0048,"CENTRO, PLAZA DEL PRÍNCIPE ALFONSO Nº5","PLAZA DE SANTA ANA, ÁREA INFANTIL",40.414841,-3.7004943
FUENTES,FUE_01_0049,"CENTRO, PASEO DE RECOLETOS Nº 17",C/V PRIM. EN BULEVAR JUNTO ASEOS PÚBLICOS,40.4214908,-3.6924701
FUENTES,FUE_01_0050,"CENTRO, PLAZA JACINTO BENAVENTE Nº 2",C/V PLAZA DEL ÁNGEL,40.4144869,-3.7031275
FUENTES,FUE_01_0051,"CENTRO, CALLE TRES CRUCES, 1",C/V PLAZA DEL CARMEN,40.419109,-3.7032599
FUENTES,FUE_01_0052,"CENTRO, C/ AUGUSTO FIGUEROA Nº 41",C/V VÁLGAME DIOS,40.4220373,-3.6967302
FUENTES,FUE_01_0053,"CENTRO, PLAZA GUARDIAS DE CORPS, 4 ",C/V CONDE DUQUE,40.4271838,-3.7104941
FUENTES,FUE_01_0054,"CENTRO, GRAN VÍA, 69",Sin información adicional,40.4229586,-3.7103794
FUENTES,FUE_01_0055,"CENTRO, CABALLERO DE GRACIA, 40","C/V GRAN VÍA, 1",40.4189242,-3.6975217
FUENTES,FUE_01_0056,"CENTRO, PASEO DE RECOLETOS 1",C/V PZA. CIBELES EN BULEVAR JUNTO PARADAS DE AUTOBÚS,40.4198082,-3.6932761
FUENTES,FUE_01_0057,"CENTRO, TIRSO DE MOLINA 2",JUNTO ÁREA INFANTIL,40.412335,-3.7036965
FUENTES,FUE_01_0058,"CENTRO, TOLEDO 40",FRENTE Nº 40,40.4125395,-3.7076008
FUENTES,FUE_01_0059,"CENTRO, PLAZA PLATERIA DE MARTINEZ 3",Sin información adicional,40.4127372,-3.6938653
FUENTES,FUE_01_0060,"CENTRO, CALLE ALCALA 48",PUERTA BANCO DE ESPAÑA,40.4189354,-3.6948494
FUENTES,FUE_01_0061,"CENTRO, CALLE HUERTAS 71",C/V CALLE JESÚS,40.4131045,-3.6953848
FUENTES,FUE_01_0062,"CENTRO, CALLE SAN LUCAS 1",C/V SAN GREGORIO,40.4238133,-3.6971036
FUENTES,FUE_01_0063,"CENTRO, PARQUE CASINO DE LA REINA",JUNTO ÁREA CANINA,40.4058599,-3.7055371
FUENTES,FUE_01_0064,"CENTRO, PARQUE CASINO DE LA REINA",JUNTO ÁREA CANINA,40.4059452,-3.7057367
FUENTES,FUE_01_0065,"CENTRO, PLAZA CONDE DE BARAJAS 6",Sin información adicional,40.4144946,-3.7085963
FUENTES,FUE_01_0066,"CENTRO, PLAZA VIRGEN DE LA PALOMA 1",C/V CALLE LA PALOMA 21,40.4082096,-3.7119965
FUENTES,FUE_01_0067,"CENTRO, CALLE SANTA CRUZ DE MARCENADO 31",Sin información adicional,40.4296616,-3.7133527
FUENTES,FUE_01_0068,"CENTRO, CALLE SAN PEDRO 20",C/V GOBERNADOR,40.4114955,-3.6948415
FUENTES,FUE_01_0069,"CENTRO, PLAZA SANTA BARBARA 10",Sin información adicional,40.4265203,-3.6965641
FUENTES,FUE_01_0070,"CENTRO, PLAZA CONDE DE MIRANDA 2",Sin información adicional,40.414788,-3.7096126
FUENTES,FUE_01_0071,"CENTRO, C/ ATOCHA, 73 ",C/V C/ AMOR DE DIOS,40.4122616,-3.6986661
FUENTES,FUE_01_0072,"CENTRO, C/ SANTA ISABEL, 34 ",C/V C/ BUENAVISTA.,40.4106288,-3.6981192
FUENTES,FUE_01_0073,"CENTRO, C/ DOCTOR MATA, 2 ","C/V C/ SANTA ISABEL, PLAZA JUAN GOYTISOLO",40.4089132,-3.6944487
FUENTES,FUE_01_0074,"CENTRO, C/ SANTA ISABEL, 52 ",JUNTO AL MUSEO REINA SOFÍA,40.4084931,-3.69335
FUENTES,FUE_01_0075,"CENTRO, PLAZA DE LA CORRALA ",C/ MESÓN DE PAREDES 63.,40.4080412,-3.7028827
FUENTES,FUE_01_0076,"CENTRO, PLAZA DEL CAMPILLO DEL MUNDO NUEVO ",Sin información adicional,40.4062448,-3.7085298
FUENTES,FUE_01_0077,"CENTRO, CALLE CALATRAVA, 37",C/V C/ DEL ÁNGEL,40.4097296,-3.7132736
FUENTES,FUE_01_0078,"CENTRO, PLAZA DE SAN FRANCISCO, 4 ",C/V C/ SAN BUENAVENTURA,40.4108156,-3.7141863
