Distrito,Apartado,Número de archivo,Situación Destino,Destino,Solar
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.395,CALLE DE LAS ROSAS DE ARAVACA C/V C/ DEL RÍO SELLA,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAUBICADA UNA CASETA DE PERSONAL Y ALMACÉN.,12342.32 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.4,CALLE DEL RIO SELLA C/V C/ DEL UNICORNIO,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,6676.20 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.401,CALLE DEL PAVO REAL C/V C/ DE LA CORONA AUSTRAL,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4654.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.402,CALLE DE LA VÍA LÁCTEA,EN EL PGOUM-97 ESTÁ CALIFICADO COMO DOTACIONAL SERVICIOS COLECTIVOS VÍA PÚBLICA.,720.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.403,CALLE DE VALTRAVIESO NUM 34,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1148.50 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.405,CALLE DE RAFAEL BOTÍ NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1461.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.406,CALLE DE LAS CINCO LAGUNAS NUM 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1812.53 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.407,CALLE DEL ESCULTOR PERESEJO NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,20667.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.41,CALLE DE ANICETO MARINAS C/V AV. DE VALLADOLID,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2200.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.373,CALLE DE LA GOLONDRINA NUM 4,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA LAINSTALACIÓN DEPORTIVA BÁSICA PARQUE DE LOS CARNEROS (PISTA DE BALONCESTO), SITA EN C/ BAJA DE LAIGLESIA, 36. EL 20/12/2017 SE DIO DE BAJA EL AF 35/2380 POR ESTAR DUPLICADO CON ESTE AF.",4000.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.375,SITIO AL PRADO DE LA VILLA (VALDECAHONDES),"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. ARRENDADO A LA COMUNIDAD DE MADRID COMO COTOFORESTAL. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA LA IDB ESCULTOR PERESEJO (CAMPO DE FÚTBOL 11),SITA EN C/ DEL ESCULTOR PERESEJO, Nº 11.",44400.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.376,CALLE DE SINESIO DELGADO C/V C/ DE EMERENCIANA ZURILLA NUM 73,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1678.90 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.377,CALLE DE SAN RESTITUTO NUM 72,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,773.10 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.378,CALLE ALFONSO FDEZ CLAUSELLS - AV. MARTIRES MARISTAS -C/ ISLAS MARIANAS,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,13852.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.379,CALLE DE LA ISLA DE OZA NUM 82,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4080.00 m2
