TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
PISCINAS,Centro Deportivo Municipal Los Prunos,"CALLE PETUNIAS 30.0, MADRID, 28042","Forma de gestión: indirecta, por medio de concesión de la gestión de los servicios deportivos Los Prunos   Para acceder a este centro deportivo municipal de gestión indirecta únicamente serán válidos los abonos adquiridos en este centro. Se recomienda consultar los precios de  utilización de las zonas termales y de spa, en las oficinas del centro deportivo.",40.453257453448046,-3.6186956428199855
PISCINAS,Centro Deportivo Municipal Luis Aragonés,"CALLE EL PROVENCIO 20.0, MADRID, 28043",No disponible,40.464650948053816,-3.6275877145025817
PISCINAS,Centro Deportivo Municipal Margot Moles (Vicálvaro),"PASEO POLIDEPORTIVO 3.0, MADRID, 28032",No disponible,40.40914061858403,-3.603264732850392
PISCINAS,Centro Deportivo Municipal Marqués de Samaranch,"PASEO IMPERIAL 20.0, MADRID, 28005",No disponible,40.40761501410649,-3.7173807221939192
PISCINAS,Centro Deportivo Municipal Moratalaz,"CALLE VALDEBERNARDO 2.0, MADRID, 28030",No disponible,40.39885854572339,-3.632432290214539
PISCINAS,Centro Deportivo Municipal Moscardó,"CALLE ANDRES ARTEAGA 5.0, MADRID, 28026",No disponible,40.38850290426967,-3.706303079808029
PISCINAS,Centro Deportivo Municipal Orcasitas,"AVENIDA RAFAELA YBARRA 52.0, MADRID, 28026",No disponible,40.37558213858424,-3.71245854352948
PISCINAS,Centro Deportivo Municipal Orcasur,"CALLE MOREJA 11.0, MADRID, 28041",No disponible,40.37021993373859,-3.699468900607744
PISCINAS,Centro Deportivo Municipal Palomeras,"CALLE TRANVIA DE ARGANDA 4.0, MADRID, 28031",No disponible,40.38260362230282,-3.6337151808372496
PISCINAS,Centro Deportivo Municipal Peñagrande,"AVENIDA MONFORTE DE LEMOS 184.0, MADRID, 28035","Clases y escuelas deportivas  Más información en el centro deportivo municipal.  Equipamientos    Superficie total de las instalaciones: 16.000 metros cuadrados.  Unidades deportivas al aire libre: 1 piscina, zona hidrotermal, solarium, sauna, baño turco, 6 pistas de pádel, y 4 pistas de tenis.   Unidades deportivas cubiertas: 2 piscinas, sala fitness, pabellón polideportivo, 4 salas polivalentes, zona hidrotermal (piscina spa y ducha de sensaciones), y sala bike.  Ayudas técnicas para la accesibilidad: rampas, ascensor, vestuarios, duchas y aseos adaptados.",40.476792184653526,-3.717566523014736
PISCINAS,Centro Deportivo Municipal Peñuelas,"CALLE ARGANDA 25.0, MADRID, 28005",No disponible,40.39865532340664,-3.704959759845779
PISCINAS,Centro Deportivo Municipal Plata y Castañar,"PASEO PLATA Y CASTAÑAR 7.0, MADRID, 28021",No disponible,40.34998997348078,-3.7178413073202856
PISCINAS,Centro Deportivo Municipal Playa Victoria,"CALLE HIERBABUENA 2.0, MADRID, 28039",No disponible,40.4592763472204,-3.7021136988422567
PISCINAS,Centro Deportivo Municipal Pradillo,"CALLE PRADILLO 33.0, MADRID, 28002",No disponible,40.44910622626739,-3.671618277009419
PISCINAS,Centro Deportivo Municipal Pueblo Nuevo,"CALLE FRANCISCO RIOJA 14.0, MADRID, 28017",No disponible,40.43003240158625,-3.638536354805483
PISCINAS,Centro Deportivo Municipal Raúl González,"CALLE BENIMAMET 137.0, MADRID, 28021","Deportes practicables Baloncesto - Balonmano - Fútbol Sala - Natación - Voleibol  Uso de espacios deportivos Pabellón - Piscina  Enseñanzas DeportivasEscuelas Pre-Infantiles (3 a 5 años): Matronatación - Natación peques Escuelas infantiles (6 a 14 años, según modalidades): Fútbol Sala - Natación - Predeporte Clases para jóvenes (de 15 a 21 años): Natación  Clases para jóvenes y adultos (15 a 64 años): Acondicionamiento físico deportivo - Acuagim - Ciclo sala - Combinada (Acondicionamiento/ GAP) - Entrenamiento en circuito - GAP (Glúteos, Abdomen y Piernas) - Natación - Natación de compensación - Pilates - Tonificación - Yoga (iniciación) Actividades para Mayores de 65 años: Actividad Física - Gimnasia Acuática - Natación Actividades para Personas con discapacidad física: Natación (infantiles y adultos)  Servicio de Medicina deportiva: Psicomotricidad infantil",40.34622002606704,-3.684337728806363
PISCINAS,Centro Deportivo Municipal San Blas,"AVENIDA HELLIN 47.0, MADRID, 28037",No disponible,40.42893383815444,-3.615229739080561
PISCINAS,Centro Deportivo Municipal San Fermín,"CALLE SAN MARIO 18.0, MADRID, 28041",No disponible,40.37530577421291,-3.692701024144295
PISCINAS,Centro Deportivo Municipal San Juan Bautista,"CALLE TREVIANA 1.0, MADRID, 28043",No disponible,40.44864976316054,-3.658571179746684
PISCINAS,Centro Deportivo Municipal Santa Ana,"PASEO ALAMEDILLAS 5.0, MADRID, 28034",No disponible,40.49809469315447,-3.696358010199944
PISCINAS,Centro Deportivo Municipal Triángulo de Oro,"CALLE BRAVO MURILLO 376.0, MADRID, 28020","Forma de Gestión Directa, por parte del Ayuntamiento de Madrid  Superficie 4.150 m2   EQUIPAMIENTOS    Unidades Deportivas Cubiertas Pabellón polideportivo - Piscina (1 vaso de 25 m.) - Sala de musculación - Frontón corto (pelota a mano y frontenis) - Sala multiusos (aeróbic) - Sala multiusos (ciclo sala)  Accesibilidad: instalación adaptada, con 1 ascensor, 1 plataforma y 1 grúa de piscina  Aparcabicicletas: exterior (5) Este centro deportivo dispone de columna de rescate cardíaco    SERVICIOS    Deportes practicables Baloncesto - Balonmano - Deportes de pelota - Fútbol sala - Musculación - Natación - Voleibol  Uso de espacios deportivos Frontón - Pabellón - Piscina - Pista polideportiva - Sala de musculación  Enseñanzas deportivas:Escuelas pre-infantiles (4 y 5 años): Natación peques Escuelas infantiles (6 a 14 años, según modalidades): Aeróbic - Baloncesto - Natación  Clases para jóvenes y adultos (15 a 64 años): Acondicionamiento físico deportivo - Acuafit - Aeróbic - Ciclo sala - Fitnes - Gimnasia suave - Karate shyto - Musculación - Natación - Pilates Actividades para mayores de 65 años: Actividad Acuática - Actividad Física   Actividades para personas con discapacidad física: Natación (infantil)  Oficina de Promoción Deportiva Juegos Deportivos Municipales - Torneos y Circuitos Municipales - Copas de Primavera - Información sobre Escuelas de Promoción Deportiva",40.46512519238624,-3.6928208378255807
PISCINAS,Centro Deportivo Municipal Vallecas Verano,"CALLE ARROYO DEL OLIVAR 51.0, MADRID, 28018",No disponible,40.390368919782446,-3.657213682860775
PISCINAS,Centro Deportivo Municipal Vallehermoso,"AVENIDA FILIPINAS 7.0, MADRID, 28003",No disponible,40.44064843863945,-3.709053489027435
PISCINAS,Centro Deportivo Municipal Vicente del Bosque,"AVENIDA MONFORTE DE LEMOS 13.0, MADRID, 28029",No disponible,40.4789135943213,-3.693540659747283
PISCINAS,Centro Deportivo Municipal Wilfred Agbonavbare (antiguo Alberto García),"CALLE REGUERA DE TOMATEROS, 39B No disponible, MADRID, 28053",No disponible,40.37242141806343,-3.657451562175517
PISCINAS,Club de Campo Villa de Madrid,"CARRETERA CASTILLA 12.0, MADRID, 28040",No disponible,40.43882337027629,-3.7426495421854256
