,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
526,Monumentos,Mariano José de Larra,C Bailén N/A o N/D,Estatua,40.415649489849166,-3.713269961976083
527,Monumentos,Mariano José de Larra,C Huertas 74,"Elemento conmemorativo, Lápida",40.41287767769369,-3.6950308906387166
528,Monumentos,Mariano José de Larra,C Santa Clara 3,"Elemento conmemorativo, Lápida",40.41705160051077,-3.710880219695903
529,Monumentos,Mariblanca. Réplica Puerta del Sol,Pza Puerta del Sol N/A o N/D,Estatua,40.41683731629688,-3.7046780182148007
530,Monumentos,Mariscal Francisco Solano López,Pº Paraguay N/A o N/D,"Elemento conmemorativo, Lápida",40.41556913688076,-3.684839467594913
531,Monumentos,Marqués de Valdavia,C Atocha 80,"Elemento conmemorativo, Lápida",40.41110959964958,-3.6969102417785744
532,Monumentos,Marqués de Villena,PLAZA DESCALZAS 1,"Elemento conmemorativo, Lápida",40.41791988511,-3.705988853170539
533,Monumentos,Marqués Viudo de Pontejos,Pza Descalzas N/A o N/D,Estatua,40.41788289362578,-3.706068024190812
534,Monumentos,María Cristina de Borbón-Dos Sicilias,C Felipe IV N/A o N/D,Estatua,40.41523863003084,-3.690423011904708
535,Monumentos,María Teresa Rodríguez del Toro de Bolívar,C Fuencarral 2,"Elemento conmemorativo, Lápida",40.4202980482124,-3.701507907372
536,Monumentos,Mateo Inurria,CALLE QUEVEDO 5,"Elemento conmemorativo, Lápida",40.41392703861398,-3.697654281436429
537,Monumentos,Maternidad,CALLE GENERAL RODRIGO 8,Escultura conceptual o abstracta,40.44410989913754,-3.713985911924477
538,Monumentos,Mediterránea,Pº Castellana 41,Escultura conceptual o abstracta,40.432979954546646,-3.686973179986409
539,Monumentos,Mesonero Romanos,Pza Vázquez de Mella 7,Grupo Escultórico,40.42122239771011,-3.699124598467417
540,Monumentos,Miguel de Cervantes,C Cervantes 2,"Elemento conmemorativo, Lápida",40.41430709153229,-3.698522625472364
541,Monumentos,Miguel de Cervantes,C Villa 2,"Elemento conmemorativo, Lápida",40.41430207334547,-3.7126310478854343
542,Monumentos,Miguel de Cervantes,C Lope de Vega 18,"Elemento conmemorativo, Lápida",40.41368389630756,-3.6972903929663454
543,Monumentos,Miguel de Cervantes,Pza Cortes N/A o N/D,Estatua,40.41571450065277,-3.696698442869596
544,Monumentos,Miguel de Cervantes,C Huertas 28,"Elemento conmemorativo, Lápida",40.41356647274266,-3.6988331996276655
545,Monumentos,Miguel de Cervantes,C Cervantes 2,"Elemento conmemorativo, Lápida",40.41430744754788,-3.698463696493625
546,Monumentos,Miguel Morayta Sagrario,C Pozas 18,"Elemento conmemorativo, Lápida",40.42544719034717,-3.706606868407048
547,Monumentos,Miguel Moya,Pº Duque de Fernán Núñez N/A o N/D,Estatua,40.41115978352367,-3.679396782860836
548,Monumentos,Miguel Moya,C Serrano 4,"Elemento conmemorativo, Lápida",40.42114283737299,-3.6883615800093184
